                         mean          sd         5.5%         94.5%      rhat
z_host[315]     -2.196037e-01 0.962610750 -1.748421578  1.3241668285 1.0008835
z_host[316]      4.092545e-01 0.702631903 -0.692659882  1.5487169905 1.0011398
z_host[317]      8.173543e-02 0.996980228 -1.528704860  1.6515723390 1.0022977
z_host[318]      1.167840e-01 0.560708842 -0.785065742  1.0275073500 1.0015159
z_host[319]      5.523523e-01 0.801273461 -0.711439447  1.8262873665 1.0005280
z_host[320]      2.462877e-01 0.893122255 -1.170597515  1.6711485970 0.9998980
z_host[321]     -1.267615e-01 0.803969237 -1.413253197  1.1278693795 1.0019814
z_host[322]      2.174511e-01 0.592841381 -0.717022907  1.1621021605 1.0009926
z_host[323]      3.173661e-01 0.905589725 -1.136450918  1.7737655290 1.0012206
z_host[324]      2.210316e-01 0.869432583 -1.151003626  1.6230018355 1.0000301
z_host[325]      7.378360e-02 0.986388931 -1.479698421  1.6844144610 1.0008410
z_host[326]      8.358600e-01 0.489486438  0.048472673  1.6075054460 1.0015475
z_host[327]      4.363170e-01 0.643466742 -0.589195246  1.4641402435 1.0003741
z_host[328]      3.571003e-01 0.793855480 -0.895360141  1.6501510725 1.0000730
z_host[329]     -3.317612e-01 0.444912011 -1.046458816  0.3658374222 1.0019782
z_host[330]      4.711168e-02 0.839776369 -1.281572128  1.3578060805 1.0009251
z_host[331]      7.037782e-02 0.968264797 -1.514191067  1.6428215790 1.0002086
z_host[332]      5.421580e-01 0.501327316 -0.262690104  1.3367069790 0.9995639
z_host[333]      6.584865e-02 1.016834580 -1.593772794  1.6802730915 1.0030648
z_host[334]     -3.347055e-02 0.977390409 -1.582062437  1.5566021710 0.9995532
z_host[335]      1.479789e-01 0.968724311 -1.405112963  1.6789952615 1.0005532
z_host[336]      5.801481e-02 0.897954665 -1.364635297  1.5084604825 1.0006303
